,,                          THE PEPPER CONCERTS HISTORY PAGES:                       BY MATTHEW MINORS,,,,,,,,
,,,"Seperate bands with ""/"" try to remove white space where possible",,"Notes: To match songs to bands, they must be exactly like the are in the band col). Band is after the =
e.g ""Song = Band Name/Other Band Name/Person Name""","Format like: ""Person Name = Position""",,,,
SHOW,YEAR,BAND MEMBERS,BAND,INSTRUMENTS,SONGS,CREW ,MAIN COMMITTEE,COMMITTEE MEMBERS/HELPERS,HOSPICE HELPERS,DANCERS
Sgt Pepper Concert,1989,Desmond Cooper,Lonely Hearts Club,Guitar,Sgt Pepper Overture = Lonely Hearts Club,,,,,
Sgt Pepper Concert,1989,Ted Carroll,Lonely Hearts Club,Guitar,Sgt Pepper Lonely Hearts = Lonely Hearts Club,,,,,
Sgt Pepper Concert,1989,Mark Ridout,Lonely Hearts Club,Guitar,With A Little Help = Lonely Hearts Club,,,,,
Sgt Pepper Concert,1989,Julian Unwin,Lonely Hearts Club,Guitar,Lucy In the Sky = Lonely Hearts Club/James Hannaway,,,,,
Sgt Pepper Concert,1989,Ian Smith,Lonely Hearts Club,Bass Guitar,Getting Better = The Odd Eccentric,,,,,
Sgt Pepper Concert,1989,Jonathan Williams,Lonely Hearts Club,Bass Guitar,Fixing A Hole = Stage Curfew,,,,,
Sgt Pepper Concert,1989,Archie Eager,Lonely Hearts Club,Drums,She's Leaving Home = Lonely Hearts,,,,,
Sgt Pepper Concert,1989,Roland Walker,Lonely Hearts Club,Percussion,The Benefit Of Mr Kite = BYT,,,,,
Sgt Pepper Concert,1989,Robert Breakwell,Lonely Hearts Club,Piano/Synthesiser,Within You Without You = Lonely Hearts Club,,,,,
Sgt Pepper Concert,1989,Alistair Hodgeson,Lonely Hearts Club,Synthesiser,When I'm Sixty Four = Bridgewater/Swing,,,,,
Sgt Pepper Concert,1989,James Honour ,Lonely Hearts Club,Synthesiser,Lovely Rita = Lonely Hearts Club,,,,,
Sgt Pepper Concert,1989,James Hannaway,,Lead Vocalist,Good Morning Good Morning = Rough Diamond,,,,,
Sgt Pepper Concert,1989,Gareth Evans Jones,Stage Curfew,Vocals,Sgt. Pepper (Reprise) = Lonely Hearts Club,,,,,
Sgt Pepper Concert,1989,Julian Unwin,Stage Curfew,Guitar,A Day In the Life = Lonely Hearts Club/James Hannaway,,,,,
Sgt Pepper Concert,1989,Kyron Keogh,Stage Curfew,Drums,,,,,,
Sgt Pepper Concert,1989,Jonathan Williams,Stage Curfew,Bass Guitar,,,,,,
Sgt Pepper Concert,1989,Lance Day,Stage Curfew,Keyboards,,,,,,
Sgt Pepper Concert,1989,Paul Griffiths,Stage Curfew,Vocals,,,,,,
Sgt Pepper Concert,1989,John Gosling,Rough Diamond,Keyboards/Guitars,,,,,,
Sgt Pepper Concert,1989,Adam Evans,Rough Diamond,Lead Guitar,,,,,,
Sgt Pepper Concert,1989,Paul Cogdell,Rough Diamond,Guitar,,,,,,
Sgt Pepper Concert,1989,Pete Downes,Rough Diamond,Drums,,,,,,
Sgt Pepper Concert,1989,Simon Gosling,Rough Diamond,Bass Guitar,,,,,,
Sgt Pepper Concert,1989,Paul Eccentric,The Odd Eccentric,Vocals,,,,,,
Sgt Pepper Concert,1989,Fergus McAlistair V11,The Odd Eccentric,Guitar,,,,,,
Sgt Pepper Concert,1989,Zorba Cuprinol,The Odd Eccentric,Bass Guitar,,,,,,
Sgt Pepper Concert,1989,Crash Symbol,The Odd Eccentric,Drums,,,,,,
Sgt Pepper Concert,1989,Jan Ladislav Dussek J,The Odd Eccentric,Keyboards,,,,,,
Sgt Pepper Concert,1989,Kinkerbell Blue,The Odd Eccentric,Backing Vocals,,,,,,
Sgt Pepper Concert,1989,Deiter Doo-Wop,The Odd Eccentric,Backing Vocals,,,,,,
Sgt Pepper Concert,1989,Berkhamsted Youth Theatre,BYT,Vocals,,,,,,
